File,Section,Year,Ref,Comment
./Data/corrected_sections/S04\1994_1995_09AR9404_1_ctd.nc,S04,1994,0, 0 
./Data/corrected_sections/S04\1994_1995_09AR9404_1_ctd.nc,S04,1995,0, 0 
./Data/corrected_sections/S04\1996_06AQANTXIII_4_ctd.nc,S04,1996,0, 0 
./Data/corrected_sections/S04\1996_320696_3_ctd.nc,S04,1996,ITS-90, 0 
./Data/corrected_sections/S04\1999_06ANTXVI_2_ctd.nc,S04,1999,ITS-90, 0 
./Data/corrected_sections/S04\2006_09AR20060102_ctd.nc,S04,2006,ITS-90, 0 
./Data/corrected_sections/S04\2007_2008_33RO20071215_ctd.nc,S04,2007,ITS-90, 0 
./Data/corrected_sections/S04\2007_2008_33RO20071215_ctd.nc,S04,2008,ITS-90, 0 
./Data/corrected_sections/S04\2011_320620110219_ctd.nc,S04,2011,ITS-90, 0 
./Data/corrected_sections/S04\2012_49NZ20121128_ctd.nc,S04,2012,ITS-90, 0 
./Data/corrected_sections/S04\2013_49NZ20130106_ctd.nc,S04,2013,ITS-90, 0 
./Data/corrected_sections/S04\2018_096U20180111_ctd.nc,S04,2018,ITS-90, 0 
./Data/corrected_sections/S04\2018_2019_490S20181205_ctd.nc,S04,2018,ITS-90,"S04, but section_id was wrong" 
./Data/corrected_sections/S04\2018_2019_490S20181205_ctd.nc,S04,2019,ITS-90,"S04, but section_id was wrong" 
./Data/corrected_sections/S04\2018_2019_490S20181205_ctd.nc,S04,2018,ITS-90, 0 
./Data/corrected_sections/S04\2018_2019_490S20181205_ctd.nc,S04,2019,ITS-90, 0 
./Data/corrected_sections/S04\2018_320620180309_ctd.nc,S04,2018,ITS-90, 0 
./Data/corrected_sections/S04\2019_490S20190121_ctd.nc,S04,2019,ITS-90,"S04, but section_id was wrong" 
./Data/corrected_sections/S04\2019_490S20190121_ctd.nc,S04,2019,ITS-90, 0 
./Data/corrected_sections/SR03\1991_09AR9101_1_ctd.nc,SR03,1991,0, 0 
./Data/corrected_sections/SR03\1993_09AR9309_1_ctd.nc,SR03,1993,0,"SR03, but section_id was wrong" 
./Data/corrected_sections/SR03\1993_09AR9309_1_ctd.nc,SR03,1993,0, 0 
./Data/corrected_sections/SR03\1994_09AR9407_1_ctd.nc,SR03,1994,0,"SR03, but section_id was wrong" 
./Data/corrected_sections/SR03\1994_09AR9407_1_ctd.nc,SR03,1994,0, 0 
./Data/corrected_sections/SR03\1994_1995_09AR9404_1_ctd.nc,SR03,1994,0, 0 
./Data/corrected_sections/SR03\1994_1995_09AR9404_1_ctd.nc,SR03,1995,0, 0 
./Data/corrected_sections/SR03\1995_09AR9501_1_ctd.nc,SR03,1995,0, 0 
./Data/corrected_sections/SR03\1996_09AR9601_1_ctd.nc,SR03,1996,0, 0 
./Data/corrected_sections/SR03\1996_09AR9604_1_ctd.nc,SR03,1996,0, 0 
./Data/corrected_sections/SR03\2001_09AR20011029_ctd.nc,SR03,2001,0, 0 
./Data/corrected_sections/SR03\2007_2008_09AR20071216_ctd.nc,SR03,2007,ITS-90, 0 
./Data/corrected_sections/SR03\2007_2008_09AR20071216_ctd.nc,SR03,2008,ITS-90, 0 
./Data/corrected_sections/SR03\2008_09AR20080322_ctd.nc,SR03,2008,ITS-90, 0 
./Data/corrected_sections/SR03\2011_09AR20110104_ctd.nc,SR03,2011,ITS-90, 0 
./Data/corrected_sections/SR03\2017_320620170410_ctd.nc,SR03,2017,ITS-90, 0 
./Data/corrected_sections/SR03\2018_096U20180111_ctd.nc,SR03,2018,ITS-90, 0 
